,Query 1,Query 2,Query 3,Query 4
appendix,0.19298246,0.2244898,0.73333333,0.78571429
cataract,0.00551116,0.00622543,0.8,0.79166667
glaucoma,0.00474626,0.00497512,0.06372549,0.06043956
colorectal,0.50537634,0.47761194,0.56956522,0.54716981
lung,0.12727273,0.24137931,0.25581395,0.36666667
