,Query 1,Query 2,Query 3,Query 4
appendix,0.19298246,0.22916667,0.73333333,0.78571429
cataract,0.00513215,0.00586782,0.8,0.79166667
glaucoma,0.00450919,0.0047373,0.06132075,0.05789474
colorectal,0.6978852,0.70916335,0.76173285,0.77403846
lung,0.21084337,0.33018868,0.34408602,0.41025641
